feature,feature value,n_samples,precision,recall,fbeta
workclass, Private,4534,0.7668329177057357,0.6162324649298597,0.6833333333333333
workclass, Self-emp-inc,235,0.8253968253968254,0.8,0.8125
workclass, Federal-gov,175,0.7792207792207793,0.8108108108108109,0.794701986754967
workclass, Local-gov,426,0.7522123893805309,0.6692913385826772,0.7083333333333333
workclass, Self-emp-not-inc,491,0.7333333333333333,0.5076923076923077,0.6
workclass, ?,381,0.631578947368421,0.4,0.4897959183673469
workclass, State-gov,268,0.8333333333333334,0.7142857142857143,0.7692307692307692
workclass, Without-pay,2,1.0,1.0,1.0
workclass, Never-worked,1,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education, HS-grad,2082,0.7051282051282052,0.3216374269005848,0.44176706827309237
education, 12th,85,1.0,0.1111111111111111,0.19999999999999998
education, Masters,338,0.7971698113207547,0.8894736842105263,0.8407960199004975
education, Bachelors,1045,0.7652582159624414,0.7706855791962175,0.7679623085983509
education, Assoc-acdm,210,0.7619047619047619,0.5925925925925926,0.6666666666666666
education, 11th,261,0.8571428571428571,0.5454545454545454,0.6666666666666665
education, 10th,190,1.0,0.2,0.33333333333333337
education, Preschool,12,1.0,1.0,1.0
education, Some-college,1486,0.6982758620689655,0.5912408759124088,0.6403162055335968
education, Assoc-voc,268,0.8490566037735849,0.569620253164557,0.6818181818181819
education, Prof-school,116,0.9101123595505618,0.9529411764705882,0.9310344827586207
education, 7th-8th,128,1.0,0.1111111111111111,0.19999999999999998
education, Doctorate,86,0.8823529411764706,0.8955223880597015,0.888888888888889
education, 9th,117,0.0,0.0,0.0
education, 5th-6th,55,1.0,0.5,0.6666666666666666
education, 1st-4th,34,0.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status, Separated,205,0.8571428571428571,0.8571428571428571,0.8571428571428571
marital-status, Married-civ-spouse,3005,0.774390243902439,0.6639283047050037,0.7149175713711299
marital-status, Never-married,2129,0.7058823529411765,0.46153846153846156,0.558139534883721
marital-status, Divorced,883,0.8125,0.4482758620689655,0.5777777777777777
marital-status, Married-spouse-absent,71,0.75,0.5,0.6
marital-status, Widowed,217,0.5454545454545454,0.4,0.4615384615384615
marital-status, Married-AF-spouse,3,1.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
occupation, Sales,727,0.7573529411764706,0.569060773480663,0.6498422712933754
occupation, Exec-managerial,796,0.8047493403693932,0.7860824742268041,0.7953063885267275
occupation, Prof-specialty,808,0.8238482384823849,0.8085106382978723,0.8161073825503355
occupation, Craft-repair,831,0.7394957983193278,0.43349753694581283,0.5465838509316772
occupation, Protective-serv,134,0.6511627906976745,0.7,0.674698795180723
occupation, Machine-op-inspct,412,0.7391304347826086,0.29310344827586204,0.41975308641975306
occupation, Other-service,676,0.5,0.09090909090909091,0.15384615384615385
occupation, Adm-clerical,712,0.7111111111111111,0.6336633663366337,0.6701570680628273
occupation, ?,382,0.631578947368421,0.4,0.4897959183673469
occupation, Transport-moving,323,0.6774193548387096,0.3181818181818182,0.43298969072164945
occupation, Handlers-cleaners,297,0.6666666666666666,0.26666666666666666,0.3809523809523809
occupation, Tech-support,192,0.639344262295082,0.78,0.7027027027027027
occupation, Farming-fishing,196,0.8,0.3333333333333333,0.47058823529411764
occupation, Priv-house-serv,25,1.0,1.0,1.0
occupation, Armed-Forces,2,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship, Not-in-family,1647,0.7345132743362832,0.4689265536723164,0.5724137931034483
relationship, Husband,2643,0.7720515361744301,0.65961049957663,0.7114155251141553
relationship, Own-child,1007,0.5714285714285714,0.4444444444444444,0.5
relationship, Wife,327,0.8014705882352942,0.7032258064516129,0.7491408934707904
relationship, Other-relative,210,0.5,0.25,0.3333333333333333
relationship, Unmarried,679,0.8076923076923077,0.525,0.6363636363636364
feature,feature value,n_samples,precision,recall,fbeta
race, Amer-Indian-Eskimo,66,0.2857142857142857,0.4,0.3333333333333333
race, White,5498,0.7692307692307693,0.6392045454545454,0.6982156710628394
race, Asian-Pac-Islander,235,0.7307692307692307,0.6129032258064516,0.6666666666666667
race, Black,657,0.8813559322033898,0.611764705882353,0.7222222222222222
race, Other,57,1.0,0.8333333333333334,0.9090909090909091
feature,feature value,n_samples,precision,recall,fbeta
sex, Female,2166,0.7724867724867724,0.6293103448275862,0.6935866983372921
sex, Male,4347,0.7708333333333334,0.6379310344827587,0.69811320754717
feature,feature value,n_samples,precision,recall,fbeta
native-country, United-States,5802,0.7715260017050298,0.6373239436619719,0.6980331662167375
native-country, ?,116,0.7931034482758621,0.6764705882352942,0.7301587301587301
native-country, Hong,2,1.0,1.0,1.0
native-country, China,16,0.6,1.0,0.7499999999999999
native-country, Philippines,47,0.9285714285714286,0.8125,0.8666666666666666
native-country, Cuba,23,0.8333333333333334,0.5555555555555556,0.6666666666666667
native-country, Japan,14,1.0,0.4,0.5714285714285715
